Bevölkerung nach Geschlecht und Geburtsland seit 2002 - Wien | Population by sex and country of birth since 2002 - Vienna
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;SEX;ISO_ALP3;NUMBER
AT13;90000;90000;2002;20020101;1;AFG;765
AT13;90000;90000;2002;20020101;1;AGO;36
AT13;90000;90000;2002;20020101;1;ALB;272
AT13;90000;90000;2002;20020101;1;ANT;1
AT13;90000;90000;2002;20020101;1;ARE;16
AT13;90000;90000;2002;20020101;1;ARG;215
AT13;90000;90000;2002;20020101;1;ARM;111
AT13;90000;90000;2002;20020101;1;AUS;301
AT13;90000;90000;2002;20020101;1;AUT;555918
AT13;90000;90000;2002;20020101;1;AZE;48
AT13;90000;90000;2002;20020101;1;BDI;8
AT13;90000;90000;2002;20020101;1;BEL;268
AT13;90000;90000;2002;20020101;1;BEN;12
AT13;90000;90000;2002;20020101;1;BFA;26
AT13;90000;90000;2002;20020101;1;BGD;987
AT13;90000;90000;2002;20020101;1;BGR;1914
AT13;90000;90000;2002;20020101;1;BHR;3
AT13;90000;90000;2002;20020101;1;BHS;3
AT13;90000;90000;2002;20020101;1;BIH;13839
AT13;90000;90000;2002;20020101;1;BLR;53
AT13;90000;90000;2002;20020101;1;BLZ;1
AT13;90000;90000;2002;20020101;1;BMU;1
AT13;90000;90000;2002;20020101;1;BOL;60
AT13;90000;90000;2002;20020101;1;BRA;325
AT13;90000;90000;2002;20020101;1;BRB;1
AT13;90000;90000;2002;20020101;1;BRN;1
AT13;90000;90000;2002;20020101;1;BTN;5
AT13;90000;90000;2002;20020101;1;BVT;1
AT13;90000;90000;2002;20020101;1;BWA;2
AT13;90000;90000;2002;20020101;1;CAF;5
AT13;90000;90000;2002;20020101;1;CAN;270
AT13;90000;90000;2002;20020101;1;CHE;1180
AT13;90000;90000;2002;20020101;1;CHL;304
AT13;90000;90000;2002;20020101;1;CHN;2047
AT13;90000;90000;2002;20020101;1;CIV;43
AT13;90000;90000;2002;20020101;1;CMR;50
AT13;90000;90000;2002;20020101;1;COD;170
AT13;90000;90000;2002;20020101;1;COG;88
AT13;90000;90000;2002;20020101;1;COL;212
AT13;90000;90000;2002;20020101;1;CPV;4
AT13;90000;90000;2002;20020101;1;CRI;17
AT13;90000;90000;2002;20020101;1;CUB;71
AT13;90000;90000;2002;20020101;1;CYM;2
AT13;90000;90000;2002;20020101;1;CYP;86
AT13;90000;90000;2002;20020101;1;CZE;9113
AT13;90000;90000;2002;20020101;1;DEU;11450
AT13;90000;90000;2002;20020101;1;DMA;1
AT13;90000;90000;2002;20020101;1;DNK;153
AT13;90000;90000;2002;20020101;1;DOM;65
AT13;90000;90000;2002;20020101;1;DZA;238
AT13;90000;90000;2002;20020101;1;ECU;59
AT13;90000;90000;2002;20020101;1;EGY;4555
AT13;90000;90000;2002;20020101;1;ERI;4
AT13;90000;90000;2002;20020101;1;ESP;388
AT13;90000;90000;2002;20020101;1;EST;8
AT13;90000;90000;2002;20020101;1;ETH;114
AT13;90000;90000;2002;20020101;1;FIN;141
AT13;90000;90000;2002;20020101;1;FRA;1206
AT13;90000;90000;2002;20020101;1;GAB;8
AT13;90000;90000;2002;20020101;1;GBR;1382
AT13;90000;90000;2002;20020101;1;GEO;198
AT13;90000;90000;2002;20020101;1;GHA;339
AT13;90000;90000;2002;20020101;1;GIN;57
AT13;90000;90000;2002;20020101;1;GMB;108
AT13;90000;90000;2002;20020101;1;GNB;11
AT13;90000;90000;2002;20020101;1;GNQ;1
AT13;90000;90000;2002;20020101;1;GRC;992
AT13;90000;90000;2002;20020101;1;GRD;1
AT13;90000;90000;2002;20020101;1;GTM;37
AT13;90000;90000;2002;20020101;1;GUY;2
AT13;90000;90000;2002;20020101;1;HKG;42
AT13;90000;90000;2002;20020101;1;HND;11
AT13;90000;90000;2002;20020101;1;HRV;3793
AT13;90000;90000;2002;20020101;1;HTI;7
AT13;90000;90000;2002;20020101;1;HUN;5612
AT13;90000;90000;2002;20020101;1;IDN;143
AT13;90000;90000;2002;20020101;1;IND;3768
AT13;90000;90000;2002;20020101;1;IRL;139
AT13;90000;90000;2002;20020101;1;IRN;4337
AT13;90000;90000;2002;20020101;1;IRQ;1266
AT13;90000;90000;2002;20020101;1;ISL;33
AT13;90000;90000;2002;20020101;1;ISR;845
AT13;90000;90000;2002;20020101;1;ITA;2159
AT13;90000;90000;2002;20020101;1;JAM;24
AT13;90000;90000;2002;20020101;1;JOR;245
AT13;90000;90000;2002;20020101;1;JPN;375
AT13;90000;90000;2002;20020101;1;KAZ;37
AT13;90000;90000;2002;20020101;1;KEN;84
AT13;90000;90000;2002;20020101;1;KGZ;22
AT13;90000;90000;2002;20020101;1;KHM;101
AT13;90000;90000;2002;20020101;1;KOR;314
AT13;90000;90000;2002;20020101;1;KWT;71
AT13;90000;90000;2002;20020101;1;LAO;31
AT13;90000;90000;2002;20020101;1;LBN;464
AT13;90000;90000;2002;20020101;1;LBR;76
AT13;90000;90000;2002;20020101;1;LBY;135
AT13;90000;90000;2002;20020101;1;LCA;4
AT13;90000;90000;2002;20020101;1;LIE;9
AT13;90000;90000;2002;20020101;1;LKA;236
AT13;90000;90000;2002;20020101;1;LTU;41
AT13;90000;90000;2002;20020101;1;LUX;91
AT13;90000;90000;2002;20020101;1;LVA;58
AT13;90000;90000;2002;20020101;1;MAR;197
AT13;90000;90000;2002;20020101;1;MCO;1
AT13;90000;90000;2002;20020101;1;MDA;108
AT13;90000;90000;2002;20020101;1;MDG;8
AT13;90000;90000;2002;20020101;1;MDV;3
AT13;90000;90000;2002;20020101;1;MEX;132
AT13;90000;90000;2002;20020101;1;MKD;3391
AT13;90000;90000;2002;20020101;1;MLI;22
AT13;90000;90000;2002;20020101;1;MLT;9
AT13;90000;90000;2002;20020101;1;MMR;8
AT13;90000;90000;2002;20020101;1;MNE;15
AT13;90000;90000;2002;20020101;1;MNG;32
AT13;90000;90000;2002;20020101;1;MOZ;11
AT13;90000;90000;2002;20020101;1;MRT;11
AT13;90000;90000;2002;20020101;1;MUS;14
AT13;90000;90000;2002;20020101;1;MWI;12
AT13;90000;90000;2002;20020101;1;MYS;49
AT13;90000;90000;2002;20020101;1;NAM;12
AT13;90000;90000;2002;20020101;1;NER;5
AT13;90000;90000;2002;20020101;1;NGA;1449
AT13;90000;90000;2002;20020101;1;NIC;16
AT13;90000;90000;2002;20020101;1;NLD;556
AT13;90000;90000;2002;20020101;1;NOR;131
AT13;90000;90000;2002;20020101;1;NPL;47
AT13;90000;90000;2002;20020101;1;NZL;43
AT13;90000;90000;2002;20020101;1;OMN;2
AT13;90000;90000;2002;20020101;1;PAK;977
AT13;90000;90000;2002;20020101;1;PAN;6
AT13;90000;90000;2002;20020101;1;PER;191
AT13;90000;90000;2002;20020101;1;PHL;2345
AT13;90000;90000;2002;20020101;1;PLW;1
AT13;90000;90000;2002;20020101;1;PNG;4
AT13;90000;90000;2002;20020101;1;POL;11288
AT13;90000;90000;2002;20020101;1;PRI;1
AT13;90000;90000;2002;20020101;1;PRK;52
AT13;90000;90000;2002;20020101;1;PRT;171
AT13;90000;90000;2002;20020101;1;PRY;17
AT13;90000;90000;2002;20020101;1;PSE;59
AT13;90000;90000;2002;20020101;1;QAT;11
AT13;90000;90000;2002;20020101;1;ROU;4525
AT13;90000;90000;2002;20020101;1;RUS;2041
AT13;90000;90000;2002;20020101;1;RWA;58
AT13;90000;90000;2002;20020101;1;SAU;117
AT13;90000;90000;2002;20020101;1;SCG;37237
AT13;90000;90000;2002;20020101;1;SDN;212
AT13;90000;90000;2002;20020101;1;SEN;58
AT13;90000;90000;2002;20020101;1;SGP;20
AT13;90000;90000;2002;20020101;1;SLB;4
AT13;90000;90000;2002;20020101;1;SLE;236
AT13;90000;90000;2002;20020101;1;SLV;9
AT13;90000;90000;2002;20020101;1;SOM;50
AT13;90000;90000;2002;20020101;1;SRB;4367
AT13;90000;90000;2002;20020101;1;SUR;2
AT13;90000;90000;2002;20020101;1;SVK;2045
AT13;90000;90000;2002;20020101;1;SVN;598
AT13;90000;90000;2002;20020101;1;SWE;431
AT13;90000;90000;2002;20020101;1;SWZ;5
AT13;90000;90000;2002;20020101;1;SYC;3
AT13;90000;90000;2002;20020101;1;SYR;741
AT13;90000;90000;2002;20020101;1;TCA;1
AT13;90000;90000;2002;20020101;1;TCD;1
AT13;90000;90000;2002;20020101;1;TGO;42
AT13;90000;90000;2002;20020101;1;THA;191
AT13;90000;90000;2002;20020101;1;TJK;45
AT13;90000;90000;2002;20020101;1;TKM;3
AT13;90000;90000;2002;20020101;1;TON;1
AT13;90000;90000;2002;20020101;1;TTO;13
AT13;90000;90000;2002;20020101;1;TUN;1026
AT13;90000;90000;2002;20020101;1;TUR;27699
AT13;90000;90000;2002;20020101;1;TWN;374
AT13;90000;90000;2002;20020101;1;TZA;24
AT13;90000;90000;2002;20020101;1;UGA;90
AT13;90000;90000;2002;20020101;1;UKR;495
AT13;90000;90000;2002;20020101;1;URY;44
AT13;90000;90000;2002;20020101;1;USA;1553
AT13;90000;90000;2002;20020101;1;UZB;118
AT13;90000;90000;2002;20020101;1;VAT;1
AT13;90000;90000;2002;20020101;1;VCT;2
AT13;90000;90000;2002;20020101;1;VEN;91
AT13;90000;90000;2002;20020101;1;VGB;1
AT13;90000;90000;2002;20020101;1;VNM;497
AT13;90000;90000;2002;20020101;1;XKS;138
AT13;90000;90000;2002;20020101;1;XXA;8
AT13;90000;90000;2002;20020101;1;XXX;1737
AT13;90000;90000;2002;20020101;1;XXZ;99
AT13;90000;90000;2002;20020101;1;YEM;16
AT13;90000;90000;2002;20020101;1;ZAF;273
AT13;90000;90000;2002;20020101;1;ZMB;18
AT13;90000;90000;2002;20020101;1;ZWE;24
AT13;90000;90000;2002;20020101;2;AFG;431
AT13;90000;90000;2002;20020101;2;AGO;34
AT13;90000;90000;2002;20020101;2;ALB;244
AT13;90000;90000;2002;20020101;2;ANT;1
AT13;90000;90000;2002;20020101;2;ARE;17
AT13;90000;90000;2002;20020101;2;ARG;242
AT13;90000;90000;2002;20020101;2;ARM;89
AT13;90000;90000;2002;20020101;2;ATG;2
AT13;90000;90000;2002;20020101;2;AUS;316
AT13;90000;90000;2002;20020101;2;AUT;628255
AT13;90000;90000;2002;20020101;2;AZE;50
AT13;90000;90000;2002;20020101;2;BDI;7
AT13;90000;90000;2002;20020101;2;BEL;314
AT13;90000;90000;2002;20020101;2;BEN;8
AT13;90000;90000;2002;20020101;2;BFA;11
AT13;90000;90000;2002;20020101;2;BGD;266
AT13;90000;90000;2002;20020101;2;BGR;2212
AT13;90000;90000;2002;20020101;2;BHR;1
AT13;90000;90000;2002;20020101;2;BHS;2
AT13;90000;90000;2002;20020101;2;BIH;13671
AT13;90000;90000;2002;20020101;2;BLR;92
AT13;90000;90000;2002;20020101;2;BLZ;1
AT13;90000;90000;2002;20020101;2;BMU;2
AT13;90000;90000;2002;20020101;2;BOL;89
AT13;90000;90000;2002;20020101;2;BRA;579
AT13;90000;90000;2002;20020101;2;BTN;1
AT13;90000;90000;2002;20020101;2;BWA;1
AT13;90000;90000;2002;20020101;2;CAF;2
AT13;90000;90000;2002;20020101;2;CAN;302
AT13;90000;90000;2002;20020101;2;CHE;1391
AT13;90000;90000;2002;20020101;2;CHL;359
AT13;90000;90000;2002;20020101;2;CHN;2432
AT13;90000;90000;2002;20020101;2;CIV;14
AT13;90000;90000;2002;20020101;2;CMR;36
AT13;90000;90000;2002;20020101;2;COD;97
AT13;90000;90000;2002;20020101;2;COG;54
AT13;90000;90000;2002;20020101;2;COL;301
AT13;90000;90000;2002;20020101;2;CPV;6
AT13;90000;90000;2002;20020101;2;CRI;19
AT13;90000;90000;2002;20020101;2;CUB;124
AT13;90000;90000;2002;20020101;2;CXR;1
AT13;90000;90000;2002;20020101;2;CYP;65
AT13;90000;90000;2002;20020101;2;CZE;15929
AT13;90000;90000;2002;20020101;2;DEU;16580
AT13;90000;90000;2002;20020101;2;DJI;1
AT13;90000;90000;2002;20020101;2;DMA;8
AT13;90000;90000;2002;20020101;2;DNK;222
AT13;90000;90000;2002;20020101;2;DOM;190
AT13;90000;90000;2002;20020101;2;DZA;93
AT13;90000;90000;2002;20020101;2;ECU;79
AT13;90000;90000;2002;20020101;2;EGY;1878
AT13;90000;90000;2002;20020101;2;ERI;7
AT13;90000;90000;2002;20020101;2;ESP;595
AT13;90000;90000;2002;20020101;2;EST;33
AT13;90000;90000;2002;20020101;2;ETH;129
AT13;90000;90000;2002;20020101;2;FIN;409
AT13;90000;90000;2002;20020101;2;FJI;1
AT13;90000;90000;2002;20020101;2;FRA;1560
AT13;90000;90000;2002;20020101;2;FSM;1
AT13;90000;90000;2002;20020101;2;GAB;2
AT13;90000;90000;2002;20020101;2;GBR;1242
AT13;90000;90000;2002;20020101;2;GEO;160
AT13;90000;90000;2002;20020101;2;GHA;226
AT13;90000;90000;2002;20020101;2;GIN;21
AT13;90000;90000;2002;20020101;2;GLP;1
AT13;90000;90000;2002;20020101;2;GMB;9
AT13;90000;90000;2002;20020101;2;GNB;3
AT13;90000;90000;2002;20020101;2;GNQ;1
AT13;90000;90000;2002;20020101;2;GRC;548
AT13;90000;90000;2002;20020101;2;GRD;1
AT13;90000;90000;2002;20020101;2;GRL;1
AT13;90000;90000;2002;20020101;2;GTM;30
AT13;90000;90000;2002;20020101;2;GUY;3
AT13;90000;90000;2002;20020101;2;HKG;53
AT13;90000;90000;2002;20020101;2;HND;6
AT13;90000;90000;2002;20020101;2;HRV;3938
AT13;90000;90000;2002;20020101;2;HTI;12
AT13;90000;90000;2002;20020101;2;HUN;6785
AT13;90000;90000;2002;20020101;2;IDN;211
AT13;90000;90000;2002;20020101;2;IND;2428
AT13;90000;90000;2002;20020101;2;IRL;117
AT13;90000;90000;2002;20020101;2;IRN;3457
AT13;90000;90000;2002;20020101;2;IRQ;783
AT13;90000;90000;2002;20020101;2;ISL;36
AT13;90000;90000;2002;20020101;2;ISR;737
AT13;90000;90000;2002;20020101;2;ITA;1977
AT13;90000;90000;2002;20020101;2;JAM;46
AT13;90000;90000;2002;20020101;2;JOR;81
AT13;90000;90000;2002;20020101;2;JPN;914
AT13;90000;90000;2002;20020101;2;KAZ;70
AT13;90000;90000;2002;20020101;2;KEN;129
AT13;90000;90000;2002;20020101;2;KGZ;33
AT13;90000;90000;2002;20020101;2;KHM;82
AT13;90000;90000;2002;20020101;2;KNA;1
AT13;90000;90000;2002;20020101;2;KOR;601
AT13;90000;90000;2002;20020101;2;KWT;39
AT13;90000;90000;2002;20020101;2;LAO;31
AT13;90000;90000;2002;20020101;2;LBN;355
AT13;90000;90000;2002;20020101;2;LBR;15
AT13;90000;90000;2002;20020101;2;LBY;111
AT13;90000;90000;2002;20020101;2;LCA;2
AT13;90000;90000;2002;20020101;2;LIE;14
AT13;90000;90000;2002;20020101;2;LKA;223
AT13;90000;90000;2002;20020101;2;LSO;3
AT13;90000;90000;2002;20020101;2;LTU;61
AT13;90000;90000;2002;20020101;2;LUX;94
AT13;90000;90000;2002;20020101;2;LVA;68
AT13;90000;90000;2002;20020101;2;MAR;192
AT13;90000;90000;2002;20020101;2;MCO;4
AT13;90000;90000;2002;20020101;2;MDA;122
AT13;90000;90000;2002;20020101;2;MDG;10
AT13;90000;90000;2002;20020101;2;MDV;1
AT13;90000;90000;2002;20020101;2;MEX;179
AT13;90000;90000;2002;20020101;2;MKD;2522
AT13;90000;90000;2002;20020101;2;MLI;7
AT13;90000;90000;2002;20020101;2;MLT;22
AT13;90000;90000;2002;20020101;2;MMR;10
AT13;90000;90000;2002;20020101;2;MNE;24
AT13;90000;90000;2002;20020101;2;MNG;49
AT13;90000;90000;2002;20020101;2;MOZ;12
AT13;90000;90000;2002;20020101;2;MUS;20
AT13;90000;90000;2002;20020101;2;MWI;7
AT13;90000;90000;2002;20020101;2;MYS;69
AT13;90000;90000;2002;20020101;2;NAM;12
AT13;90000;90000;2002;20020101;2;NER;2
AT13;90000;90000;2002;20020101;2;NGA;669
AT13;90000;90000;2002;20020101;2;NIC;34
AT13;90000;90000;2002;20020101;2;NLD;565
AT13;90000;90000;2002;20020101;2;NOR;204
AT13;90000;90000;2002;20020101;2;NPL;39
AT13;90000;90000;2002;20020101;2;NZL;44
AT13;90000;90000;2002;20020101;2;OMN;2
AT13;90000;90000;2002;20020101;2;PAK;369
AT13;90000;90000;2002;20020101;2;PAN;6
AT13;90000;90000;2002;20020101;2;PCN;1
AT13;90000;90000;2002;20020101;2;PER;346
AT13;90000;90000;2002;20020101;2;PHL;4369
AT13;90000;90000;2002;20020101;2;PNG;4
AT13;90000;90000;2002;20020101;2;POL;14088
AT13;90000;90000;2002;20020101;2;PRK;24
AT13;90000;90000;2002;20020101;2;PRT;163
AT13;90000;90000;2002;20020101;2;PRY;22
AT13;90000;90000;2002;20020101;2;PSE;22
AT13;90000;90000;2002;20020101;2;QAT;7
AT13;90000;90000;2002;20020101;2;ROU;5499
AT13;90000;90000;2002;20020101;2;RUS;2949
AT13;90000;90000;2002;20020101;2;RWA;30
AT13;90000;90000;2002;20020101;2;SAU;52
AT13;90000;90000;2002;20020101;2;SCG;40635
AT13;90000;90000;2002;20020101;2;SDN;78
AT13;90000;90000;2002;20020101;2;SEN;28
AT13;90000;90000;2002;20020101;2;SGP;35
AT13;90000;90000;2002;20020101;2;SLB;1
AT13;90000;90000;2002;20020101;2;SLE;35
AT13;90000;90000;2002;20020101;2;SLV;21
AT13;90000;90000;2002;20020101;2;SOM;26
AT13;90000;90000;2002;20020101;2;SRB;4451
AT13;90000;90000;2002;20020101;2;SUR;4
AT13;90000;90000;2002;20020101;2;SVK;3103
AT13;90000;90000;2002;20020101;2;SVN;712
AT13;90000;90000;2002;20020101;2;SWE;606
AT13;90000;90000;2002;20020101;2;SWZ;9
AT13;90000;90000;2002;20020101;2;SYC;7
AT13;90000;90000;2002;20020101;2;SYR;408
AT13;90000;90000;2002;20020101;2;TCD;1
AT13;90000;90000;2002;20020101;2;TGO;23
AT13;90000;90000;2002;20020101;2;THA;793
AT13;90000;90000;2002;20020101;2;TJK;57
AT13;90000;90000;2002;20020101;2;TKM;8
AT13;90000;90000;2002;20020101;2;TON;1
AT13;90000;90000;2002;20020101;2;TTO;11
AT13;90000;90000;2002;20020101;2;TUN;406
AT13;90000;90000;2002;20020101;2;TUR;21649
AT13;90000;90000;2002;20020101;2;TWN;471
AT13;90000;90000;2002;20020101;2;TZA;21
AT13;90000;90000;2002;20020101;2;UGA;41
AT13;90000;90000;2002;20020101;2;UKR;782
AT13;90000;90000;2002;20020101;2;URY;67
AT13;90000;90000;2002;20020101;2;USA;1614
AT13;90000;90000;2002;20020101;2;UZB;135
AT13;90000;90000;2002;20020101;2;VAT;3
AT13;90000;90000;2002;20020101;2;VCT;2
AT13;90000;90000;2002;20020101;2;VEN;134
AT13;90000;90000;2002;20020101;2;VNM;506
AT13;90000;90000;2002;20020101;2;XKS;67
AT13;90000;90000;2002;20020101;2;XXA;2
AT13;90000;90000;2002;20020101;2;XXX;1545
AT13;90000;90000;2002;20020101;2;XXZ;79
AT13;90000;90000;2002;20020101;2;YEM;11
AT13;90000;90000;2002;20020101;2;ZAF;358
AT13;90000;90000;2002;20020101;2;ZMB;19
AT13;90000;90000;2002;20020101;2;ZWE;32
AT13;90000;90000;2003;20030101;1;AFG;917
AT13;90000;90000;2003;20030101;1;AGO;47
AT13;90000;90000;2003;20030101;1;ALB;301
AT13;90000;90000;2003;20030101;1;ARE;17
AT13;90000;90000;2003;20030101;1;ARG;238
AT13;90000;90000;2003;20030101;1;ARM;170
AT13;90000;90000;2003;20030101;1;AUS;299
AT13;90000;90000;2003;20030101;1;AUT;558676
AT13;90000;90000;2003;20030101;1;AZE;74
AT13;90000;90000;2003;20030101;1;BDI;9
AT13;90000;90000;2003;20030101;1;BEL;288
AT13;90000;90000;2003;20030101;1;BEN;18
AT13;90000;90000;2003;20030101;1;BFA;32
AT13;90000;90000;2003;20030101;1;BGD;1070
