"region","year","sex","country","number"
"AT13","2002","MALE","ARG",215
"AT13","2002","MALE","BOL",60
"AT13","2002","MALE","BRA",325
"AT13","2002","MALE","CHL",304
"AT13","2002","MALE","COL",212
"AT13","2002","MALE","CRI",17
"AT13","2002","MALE","CUB",71
"AT13","2002","MALE","DOM",65
"AT13","2002","MALE","ECU",59
"AT13","2002","MALE","GTM",37
"AT13","2002","MALE","HND",11
"AT13","2002","MALE","HTI",7
"AT13","2002","MALE","MEX",132
"AT13","2002","MALE","NIC",16
"AT13","2002","MALE","PAN",6
"AT13","2002","MALE","PER",191
"AT13","2002","MALE","PRY",17
"AT13","2002","MALE","SLV",9
"AT13","2002","MALE","URY",44
"AT13","2002","MALE","VEN",91
"AT13","2002","FEMALE","ARG",242
"AT13","2002","FEMALE","BOL",89
"AT13","2002","FEMALE","BRA",579
"AT13","2002","FEMALE","CHL",359
"AT13","2002","FEMALE","COL",301
"AT13","2002","FEMALE","CRI",19
"AT13","2002","FEMALE","CUB",124
"AT13","2002","FEMALE","DOM",190
"AT13","2002","FEMALE","ECU",79
"AT13","2002","FEMALE","GTM",30
"AT13","2002","FEMALE","HND",6
"AT13","2002","FEMALE","HTI",12
"AT13","2002","FEMALE","MEX",179
"AT13","2002","FEMALE","NIC",34
"AT13","2002","FEMALE","PAN",6
"AT13","2002","FEMALE","PER",346
"AT13","2002","FEMALE","PRY",22
"AT13","2002","FEMALE","SLV",21
"AT13","2002","FEMALE","URY",67
"AT13","2002","FEMALE","VEN",134
"AT13","2003","MALE","ARG",238
"AT13","2003","MALE","BOL",63
"AT13","2003","MALE","BRA",348
"AT13","2003","MALE","CHL",319
"AT13","2003","MALE","COL",235
"AT13","2003","MALE","CRI",18
"AT13","2003","MALE","CUB",80
"AT13","2003","MALE","DOM",78
"AT13","2003","MALE","ECU",77
"AT13","2003","MALE","GTM",40
"AT13","2003","MALE","HND",11
"AT13","2003","MALE","HTI",7
"AT13","2003","MALE","MEX",146
"AT13","2003","MALE","NIC",16
"AT13","2003","MALE","PAN",6
"AT13","2003","MALE","PER",203
"AT13","2003","MALE","PRY",19
"AT13","2003","MALE","SLV",8
"AT13","2003","MALE","URY",48
"AT13","2003","MALE","VEN",86
"AT13","2003","FEMALE","ARG",256
"AT13","2003","FEMALE","BOL",100
"AT13","2003","FEMALE","BRA",605
"AT13","2003","FEMALE","CHL",375
"AT13","2003","FEMALE","COL",321
"AT13","2003","FEMALE","CRI",22
"AT13","2003","FEMALE","CUB",136
"AT13","2003","FEMALE","DOM",198
"AT13","2003","FEMALE","ECU",95
"AT13","2003","FEMALE","GTM",30
"AT13","2003","FEMALE","HND",7
"AT13","2003","FEMALE","HTI",15
"AT13","2003","FEMALE","MEX",186
"AT13","2003","FEMALE","NIC",38
"AT13","2003","FEMALE","PAN",7
"AT13","2003","FEMALE","PER",375
"AT13","2003","FEMALE","PRY",21
"AT13","2003","FEMALE","SLV",23
"AT13","2003","FEMALE","URY",72
"AT13","2003","FEMALE","VEN",149
"AT13","2004","MALE","ARG",244
"AT13","2004","MALE","BOL",75
"AT13","2004","MALE","BRA",369
"AT13","2004","MALE","CHL",328
"AT13","2004","MALE","COL",259
"AT13","2004","MALE","CRI",21
"AT13","2004","MALE","CUB",81
"AT13","2004","MALE","DOM",93
"AT13","2004","MALE","ECU",87
"AT13","2004","MALE","GTM",43
"AT13","2004","MALE","HND",13
"AT13","2004","MALE","HTI",7
"AT13","2004","MALE","MEX",144
"AT13","2004","MALE","NIC",17
"AT13","2004","MALE","PAN",6
"AT13","2004","MALE","PER",217
"AT13","2004","MALE","PRY",18
"AT13","2004","MALE","SLV",8
"AT13","2004","MALE","URY",46
"AT13","2004","MALE","VEN",102
"AT13","2004","FEMALE","ARG",270
"AT13","2004","FEMALE","BOL",109
"AT13","2004","FEMALE","BRA",641
"AT13","2004","FEMALE","CHL",369
"AT13","2004","FEMALE","COL",344
"AT13","2004","FEMALE","CRI",28
"AT13","2004","FEMALE","CUB",154
"AT13","2004","FEMALE","DOM",219
"AT13","2004","FEMALE","ECU",123
"AT13","2004","FEMALE","GTM",33
"AT13","2004","FEMALE","HND",9
"AT13","2004","FEMALE","HTI",17
"AT13","2004","FEMALE","MEX",199
"AT13","2004","FEMALE","NIC",38
"AT13","2004","FEMALE","PAN",8
"AT13","2004","FEMALE","PER",391
"AT13","2004","FEMALE","PRY",24
"AT13","2004","FEMALE","SLV",21
"AT13","2004","FEMALE","URY",72
"AT13","2004","FEMALE","VEN",171
"AT13","2005","MALE","ARG",243
"AT13","2005","MALE","BOL",90
"AT13","2005","MALE","BRA",398
"AT13","2005","MALE","CHL",331
"AT13","2005","MALE","COL",273
"AT13","2005","MALE","CRI",22
"AT13","2005","MALE","CUB",93
"AT13","2005","MALE","DOM",108
"AT13","2005","MALE","ECU",90
"AT13","2005","MALE","GTM",48
"AT13","2005","MALE","HND",13
"AT13","2005","MALE","HTI",5
"AT13","2005","MALE","MEX",153
"AT13","2005","MALE","NIC",17
"AT13","2005","MALE","PAN",6
"AT13","2005","MALE","PER",225
"AT13","2005","MALE","PRY",18
"AT13","2005","MALE","SLV",8
"AT13","2005","MALE","URY",48
"AT13","2005","MALE","VEN",105
"AT13","2005","FEMALE","ARG",258
"AT13","2005","FEMALE","BOL",113
"AT13","2005","FEMALE","BRA",667
"AT13","2005","FEMALE","CHL",370
"AT13","2005","FEMALE","COL",365
"AT13","2005","FEMALE","CRI",29
"AT13","2005","FEMALE","CUB",174
"AT13","2005","FEMALE","DOM",245
"AT13","2005","FEMALE","ECU",138
"AT13","2005","FEMALE","GTM",35
"AT13","2005","FEMALE","HND",9
"AT13","2005","FEMALE","HTI",16
"AT13","2005","FEMALE","MEX",215
"AT13","2005","FEMALE","NIC",36
"AT13","2005","FEMALE","PAN",9
"AT13","2005","FEMALE","PER",406
"AT13","2005","FEMALE","PRY",27
"AT13","2005","FEMALE","SLV",21
"AT13","2005","FEMALE","URY",71
"AT13","2005","FEMALE","VEN",182
"AT13","2006","MALE","ARG",260
"AT13","2006","MALE","BOL",96
"AT13","2006","MALE","BRA",409
"AT13","2006","MALE","CHL",322
"AT13","2006","MALE","COL",300
"AT13","2006","MALE","CRI",25
"AT13","2006","MALE","CUB",100
"AT13","2006","MALE","DOM",120
"AT13","2006","MALE","ECU",104
"AT13","2006","MALE","GTM",54
"AT13","2006","MALE","HND",13
"AT13","2006","MALE","HTI",8
"AT13","2006","MALE","MEX",168
"AT13","2006","MALE","NIC",19
"AT13","2006","MALE","PAN",6
"AT13","2006","MALE","PER",235
"AT13","2006","MALE","PRY",21
"AT13","2006","MALE","SLV",9
"AT13","2006","MALE","URY",50
"AT13","2006","MALE","VEN",112
"AT13","2006","FEMALE","ARG",274
"AT13","2006","FEMALE","BOL",126
